,importance,feature
94,0.035200231291108615,v38v31
2395,0.035188841929044284,v50_v114_v61
2003,0.035154203164165475,v65v121
47,0.035142772892644995,v71
2239,0.03502991369902862,v50_v130_v33
2333,0.03502387934247562,v50_v61_v88
118,0.034964459009444,v112v129
2337,0.034942984068274126,v50_v101_v65
2087,0.03487726376187213,v50_v85_v51
1671,0.03471090811731265,v51v34
2166,0.03455949543152331,v50_v14_v85
1719,0.03425801545632818,v85v21
22,0.03423241392363701,v55
1782,0.034045979394588095,v93v123
1744,0.033967679503699943,v61v4
1686,0.033942733734606684,v4v114
2329,0.03376250460350538,v50_v44_v88
2263,0.033747230207787866,v50_v64_v121
781,0.03373319742720319,v22_v30_v71_v52
116,0.033689324917862806,v107v129
1804,0.03367856614307497,v101v48
1672,0.033350082122032915,v61v34
1602,0.03327321367126067,v111v50
1814,0.03325923194438539,v76v48
2271,0.03323781546025256,v50_v93_v121
27,0.03322564150193242,v36
220,0.03318062768361673,v75v30
2375,0.03314035873186884,v50_v14_v4
1912,0.03314011649165257,v83v85
2218,0.033139334435738056,v50_v48_v76
2203,0.033057739112789,v50_v34_v65
2121,0.03284025659338468,v50_v85_v121
1913,0.032782315742051704,v76v85
2116,0.03278112832490112,v50_v119_v65
1581,0.032687976219999006,v119v50
2163,0.032680684098404245,v50_v123_v101
1205,0.03260044218380103,v22_v62_v66_v107
2157,0.0324516638914283,v50_v123_v61
1695,0.032433056898537385,v85v114
1796,0.03237078477949874,v88v123
1696,0.03231256037316631,v51v114
1918,0.03230250122620857,v65v85
1869,0.032163536513748626,v121v93
2306,0.03166433675137545,v50_v93_v55
1784,0.031554530758946715,v101v123
2260,0.0312964406644155,v50_v101_v121
1238,0.03128098116170344,v22_v56_v24_v125
1682,0.03125409049183458,v36v34
1638,0.031199000544468385,v48v14
1692,0.030984517494710588,v93v114
2165,0.030844708761969184,v50_v51_v61
2009,0.030752225122557823,v65v111
2018,0.0307129429730322,v50_v21_v48
1739,0.030549977093320253,v93v4
2325,0.030499946824191423,v50_v4_v101
1934,0.030369659976599538,v130v61
2199,0.03033248677798413,v50_v114_v85
1997,0.030262181528197898,v36v76
1252,0.030137721351834356,v22_v66_v112_v75
1867,0.029962252187273483,v83v93
2340,0.029937274693808514,v50_v101_v88
1023,0.02991728108638999,v22_v30_v91_v125
2220,0.029733689795203695,v50_v121_v111
1689,0.02958429432721192,v48v114
324,0.02951318918088556,v22_v129_v24
2354,0.02949157394943712,v50_v93_v88
1609,0.02931055601910748,v119v10
2055,0.029304605643725584,v50_v61_v36
1774,0.02928701120032459,v121v119
2204,0.029184069404855604,v50_v34_v88
1786,0.02913825974120368,v51v123
2114,0.029100445845467855,v50_v119_v88
1716,0.028968521531751442,v93v21
2219,0.028887439905165516,v50_v4_v48
1673,0.02887078536552846,v17v34
2194,0.02886787889690144,v50_v34_v76
1853,0.028567272360580556,v88v106
2080,0.028422812998339642,v50_v119_v51
2005,0.02814634546345728,v111v88
421,0.028104324850020925,v22_v30_v125
1803,0.02794649406722638,v64v48
2285,0.027877941229775004,v50_v101_v111
1770,0.027768039019423377,v33v119
1734,0.027704366509960197,v119v4
2010,0.02752001836023314,v50_v21_v36
2103,0.027424474228104078,v50_v123_v48
2303,0.027288780552332963,v50_v93_v130
2198,0.027180298322568717,v50_v10_v101
1960,0.027083282337303463,v121v44
2225,0.0270098967932516,v50_v48_v17
2283,0.026725677892264727,v50_v130_v88
2144,0.026607505374055308,v50_v123_v76
1007,0.02652375994992708,v22_v129_v72_v75
1762,0.026459340982750785,v64v119
1974,0.026287747532161225,v55v33
2173,0.026276945650403317,v50_v85_v44
2046,0.026074132761240855,v50_v130_v36
2223,0.025980893589947138,v50_v130_v121
1700,0.025978269372965435,v130v114
1917,0.02595208631626599,v111v85
2215,0.02574053586804106,v50_v48_v130
2308,0.025621988900161236,v50_v17_v76
1940,0.025588119782510695,v88v61
2142,0.025526649820865385,v50_v14_v123
246,0.025431181978392194,v75v91
1589,0.025248068046700066,v85v50
1726,0.025236128746465716,v55v21
1645,0.024963982400508483,v51v14
2001,0.024816915697556063,v36v121
1991,0.024791214961962568,v88v83
1800,0.024769625010034005,v12v48
1870,0.0246827695352084,v88v93
1924,0.02455296501624078,v55v51
150,0.024512641761294085,v91v62
2242,0.024392034296050084,v50_v130_v55
1664,0.02428508525750946,v48v34
1668,0.024246335605346957,v64v34
1616,0.024167166112840137,v101v10
1674,0.024123285687266054,v44v34
791,0.023883764804144947,v22_v31_v107_v71
248,0.023825544838108923,v125v91
